ID	SMILES
1026230	Cc1ccccc1C(=O)Nc1ccc(-c2nc3ccc(C(=O)c4ccccc4)cc3[nH]2)cc1
1026303	CCOc1c(Cl)cc(C(=O)Nc2cccc(C(=O)O)c2)cc1Cl
1026469	O=C(O)CCC(=O)Nc1ccc(-c2nc3ccc(C(=O)c4ccccc4)cc3[nH]2)cc1
1026546	COc1ccc(CC(=O)Nc2cccc(-c3nnc(-c4ccc(C)cc4)o3)c2)cc1OC
1026551	Cc1ccc(-c2nnc(-c3ccc(NC(=O)Cc4cccs4)cc3)o2)cc1
1026560	Cc1ccc2oc(-c3ccc(C)c(NC(=O)Cc4cccs4)c3)nc2c1
1026625	CCOc1cccc(C(=O)Nc2cccc(-c3nnc(-c4ccc(C)cc4)o3)c2)c1
1028188	O=C(/C=C/c1cccs1)Nc1cccc(NC(=O)/C=C/c2cccs2)n1
1028404	Cn1cc(Br)c(C(=O)Nc2ncc(Br)s2)n1
1028457	Cn1cc(Br)c(C(=O)Nc2sc3c(c2C(N)=O)CCC3)n1
1028458	COc1ccc(-c2nnc(SC(=O)N3c4ccccc4Sc4ccccc43)o2)cc1
102928	COc1ccc(C2CC(=O)c3ccccc3O2)cc1
10298511	CC(C)=CCc1c(O)cc2oc3c(CC=C(C)C)c(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O
1032969	O=C(NC(=S)N1CCCc2ccccc21)c1ccc(Br)cc1
1033230	O=C(Nc1sc2c(c1C(=O)NCc1cccnc1)CCCC2)c1ccco1
1033970	COc1ccc(N2C(=O)C(Cl)=C(Nc3ccc(OC)cc3OC)C2=O)cc1
1033986	COc1ccc(OC)c(NC2=C(Cl)C(=O)N(Cc3ccccc3)C2=O)c1
1033988	COc1ccc(CCNC2=C(Cl)C(=O)N(Cc3ccccc3)C2=O)cc1OC
1034001	COC(=O)C1=C(C)N(Cc2ccccc2)C(=O)NC1c1ccc(Br)cc1
1034218	O=S(=O)(c1cnc(Cl)c(Br)c1)N1CCc2ccccc21
1034221	Cc1ccnc(NS(=O)(=O)c2cnc(Cl)c(Br)c2)c1
1034222	O=S(=O)(c1cnc(Cl)c(Br)c1)N1CCCCCC1
1034223	O=S(=O)(NCCc1ccccc1)c1cnc(Cl)c(Br)c1
1034227	CC1CCN(S(=O)(=O)c2cnc(Cl)c(Br)c2)CC1
1034419	Fc1ccc(-c2ccc(-c3nn4c(-c5ccco5)nnc4s3)o2)cc1
1034432	COc1cccc(NC(=O)c2cc3c(=O)n4ccccc4nc3n(CC(C)C)c2=N)c1
1034452	O=S(=O)(c1ccc(F)cc1)c1nc(-c2ccco2)oc1Nc1ccccc1
1034453	COc1ccc(Nc2oc(-c3ccco3)nc2S(=O)(=O)c2ccc(F)cc2)cc1
1034496	Cc1ccc(-c2csc(NC(=O)c3ccc(Br)cc3)c2C(=O)O)cc1
1034598	CCOC(=O)c1sc2nc(SC)nc(-c3ccc(Cl)cc3)c2c1N
1034658	COc1ccc(-[n+]2c3n(c([O-])c(Cc4ccccc4)c2=O)N=C(c2ccccc2)C(=O)C3)cc1
1034660	CC(=O)Oc1c(C(=O)c2nnc(C)o2)c(=O)n(Cc2ccccc2)c2ccccc12
1034730	COc1ccc(N2C3=C(CC4=C2CC(C)(C)CC4=O)C(=O)CC(C)(C)C3)cc1
1034986	CCOC(=O)c1ccc(NC(=O)c2nn(C)cc2Br)cc1
1035368	COc1ccc2nc(NC(=O)CSc3nc4ccccc4o3)sc2c1
1036045	Cc1ccc2nc(NC(=O)CSc3nc4ccccc4o3)sc2c1
1036446	CCOC(=O)c1cnc2ccccc2c1Nc1ccc2c(c1)OCCO2
1036854	CCN(CC)S(=O)(=O)c1cc(C(=O)Oc2cccc(-c3cnc4ccccc4n3)c2)ccc1Br
1036857	Cn1cc(Br)c(C(=O)NNC(=O)c2ccc(Cl)cc2)n1
1037240	O=C(c1ccccc1)c1ccc2nc(-c3ccco3)c(-c3ccco3)nc2c1
1037907	O=C(NNc1nc(-c2ccc(Br)cc2)cs1)c1ccco1
1037912	N#Cc1ccc(-c2csc(NNC(=O)c3ccc(Br)cc3)n2)cc1
1038324	Cc1cc2c(cc1C)-c1c(ss/c1=N\c1ccc(S(N)(=O)=O)cc1)C(C)(C)N2
1039688	O=C(Nc1ccc(C(=O)N2CCCCC2)cc1)c1ccc(Br)cc1
1039727	CCN(CC)S(=O)(=O)c1cc(C(=O)Nc2ccc(Cl)cn2)ccc1C
1039828	CC(=O)Nc1ccc(NC(=O)COc2ccc(Cl)cc2Cl)cc1
1039883	COc1ncnc2sc(-c3ccccc3)cc12
1040002	Cc1ccc(-c2nc3n(n2)Cc2ccccc2-3)cc1
1040061	Cc1cc(C(=O)Nc2ccccc2)oc1C
1040545	CCOC(=O)COc1ccc(/C=C/[N+](=O)[O-])c(OCC(=O)OCC)c1
1040793	Cc1ccc(NC(=O)c2ccc(OC(=S)N3CCOCC3)cc2)cc1
